Variant,Gene,Loading,Abs_Loading
315,CAGL0G01320g,-0.49137091575343994,0.49137091575343994
179,CAGL0H09350g,0.3778597815475652,0.3778597815475652
397,CAGL0E03894g,0.3352880601650056,0.3352880601650056
578,CAGL0F08943g,0.3086741105745154,0.3086741105745154
759,CAGL0L11704g,0.17838620097228802,0.17838620097228802
112,CAGL0I04290g,0.14088783204136213,0.14088783204136213
185,CAGL0H09350g,0.13334023518519253,0.13334023518519253
181,CAGL0H09350g,-0.1328400940232928,0.1328400940232928
589,CAGL0F07315g,0.11800875662269156,0.11800875662269156
647,CaglfMp04,-0.1164528281939663,0.1164528281939663
880,nan,-0.10841823443974485,0.10841823443974485
209,nan,0.10681414847034758,0.10681414847034758
266,CAGL0G07689g,0.0952651244947209,0.0952651244947209
698,CAGL0M05599g,0.0885488924963805,0.0885488924963805
230,CAGL0H02123g,0.08609815001954461,0.08609815001954461
598,CAGL0F06149g,-0.08356016043982754,0.08356016043982754
596,CAGL0F06149g,-0.07938194874019965,0.07938194874019965
597,CAGL0F06149g,-0.07520405039078179,0.07520405039078179
861,nan,0.06957412981858473,0.06957412981858473
606,nan,0.06848710252727186,0.06848710252727186
836,CAGL0L02453g,0.06557947660515052,0.06557947660515052
142,CAGL0I07997g,-0.06448094670001578,0.06448094670001578
47,CAGL0K05731g,0.06408566081511786,0.06408566081511786
113,CAGL0I04312g,-0.06364926139844812,0.06364926139844812
632,CAGL0F02035g,0.060268650223999215,0.060268650223999215
249,nan,0.05860899448054999,0.05860899448054999
294,nan,0.05774896818544896,0.05774896818544896
761,nan,0.05767326298662571,0.05767326298662571
99,nan,0.05638326762487046,0.05638326762487046
265,CAGL0G08041g,0.052537826090720774,0.052537826090720774
404,CAGL0E04774g,0.05247751457562316,0.05247751457562316
153,nan,0.05150023308549631,0.05150023308549631
162,CAGL0I10945g,0.05083605856712312,0.05083605856712312
463,CAGL0J01529g,-0.05081349674779151,0.05081349674779151
56,nan,0.04980875202921404,0.04980875202921404
178,CAGL0H09350g,-0.04900215722168777,0.04900215722168777
879,nan,0.048702000452373335,0.048702000452373335
795,CAGL0L06776g,-0.048623178780159974,0.048623178780159974
21,CAGL0K08712g,0.047643463795711834,0.047643463795711834
641,CAGL0F00495g,0.047643463795711834,0.047643463795711834
478,CAGL0J03256g,0.04708515693590949,0.04708515693590949
611,nan,0.046629306781487995,0.046629306781487995
601,nan,0.04631374765154569,0.04631374765154569
238,nan,0.046301116586177304,0.046301116586177304
849,CAGL0L00803g,0.046250074354363305,0.046250074354363305
40,CAGL0K06347g,0.04620797412674021,0.04620797412674021
314,CAGL0G01386g,-0.045797269773435734,0.045797269773435734
851,nan,0.04573729829369552,0.04573729829369552
723,nan,-0.045515962376481714,0.045515962376481714
717,nan,0.04535243042432876,0.04535243042432876
1,nan,0.045032735447372366,0.045032735447372366
488,nan,0.043254810265764235,0.043254810265764235
865,nan,0.04309329618667005,0.04309329618667005
350,nan,0.042882113992250795,0.042882113992250795
96,CAGL0I01342g,0.04280443907954489,0.04280443907954489
242,CAGL0G09757g,0.04247305797814468,0.04247305797814468
278,CAGL0G05698g,0.04171241983731269,0.04171241983731269
831,CAGL0L02871g,0.04109226151636311,0.04109226151636311
803,CAGL0L06138g,0.04096405366043204,0.04096405366043204
277,CAGL0G05720g,0.040800780408007054,0.040800780408007054
296,CAGL0G03883g,0.04075545624178029,0.04075545624178029
563,CAGL0A00451g,0.04058490906084108,0.04058490906084108
649,CAGL0M13761g,0.04058490906084108,0.04058490906084108
121,CAGL0I05016g,0.04058490906084108,0.04058490906084108
630,CAGL0F02497g,-0.040512146826474124,0.040512146826474124
470,nan,0.04028630529382217,0.04028630529382217
402,nan,0.040277142673526355,0.040277142673526355
305,CAGL0G03289g,0.03867494074556051,0.03867494074556051
436,CAGL0B03113g,-0.038566203791442724,0.038566203791442724
222,CAGL0H03047g,0.038462917887942934,0.038462917887942934
753,CAGL0L12122g,0.03835277741527224,0.03835277741527224
345,CAGL0D04708g,-0.03819108355967296,0.03819108355967296
497,CAGL0J07062g,0.03778625210316664,0.03778625210316664
